MDLYR_DT,GBE_INDX_NUM,OV_ID,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,TRNS
2009,32,EB08-A861,N,230,,L5
2009,32,EB08-A863,N,258,,L5
2009,32,EB08-A863,N,258,,L5
2009,110,EB08-U853,N,225,,L4
2009,110,EB08-U853,N,225,,L4
2009,110,EB08-U853,N,225,,L4
2009,110,EB08-U853,N,225,,L4
2009,115,EB08-U851,N,225,,L4
2009,115,EB08-U851,N,225,,L4
2009,1,R230E63-Z9011,N,528,,S7
2009,1,R230E63-Z9011,N,528,,S7
2009,2,W204E35-Z8025,N,268,,L7
2009,2,W204E35-Z8025,N,268,,L7
2009,2,W204E35-Z8026,N,268,,L7
2009,2,W204E35-Z8026,N,268,,L7
2009,3,C209E55-Z7020-1,N,382,,L7
2009,3,C209E55-Z7020-1,N,382,,L7
2009,4,R171E55-Z5004,N,362,,S7
2009,4,R171E55-Z5004,N,362,,S7
2009,5,W211E35-Z6025,N,268,,L7
2009,5,W211E35-Z6025,N,268,,L7
2009,5,W211E35-Z6026,N,268,,L7
2009,5,W211E35-Z6026,N,268,,L7
2009,6,X199E55SC-Z5008-1,N,617,,M5
2009,6,X199E55SC-Z5008-1,N,617,,M5
2009,6,X199E55SC-Z5008-1,N,617,,S5
2009,6,X199E55SC-Z5008-1,N,617,,S5
2009,7,X164DE30-Z9000,N,210,,L7
2009,7,X164DE30-Z9000,N,210,,L7
2009,8,W164DE30-Z9018,N,210,,L7
2009,8,W164DE30-Z9018,N,210,,L7
2009,9,C219E63-Z7029,N,507,,S7
2009,9,C219E63-Z7029,N,507,,S7
2009,9,C219E63-Z7029,N,507,,S7
2009,9,C219E63-Z7029,N,507,,S7
2009,10,C216E63-Z8017-1,N,518,,L7
2009,10,C216E63-Z8017-1,N,518,,L7
2009,11,R230E55TC-Z7019,N,510,,L5
2009,11,R230E55TC-Z7019,N,510,,L5
2009,12,R171E35-Z5003,N,301,,L7
2009,12,R171E35-Z5003,N,301,,L7
2009,12,R171E35-Z5002,N,301,,M6
2009,12,R171E35-Z5002,N,301,,M6
2009,13,R171E30-Z6021,N,228,,M6
2009,13,R171E30-Z6021,N,228,,M6
2009,13,R171E30-Z6022,N,228,,M6
2009,13,R171E30-Z6022,N,228,,M6
2009,14,R230E60TC-Z7023,N,603,,S5
2009,14,R230E60TC-Z7023,N,603,,S5
2009,15,R230E55-Z7016,N,382,,L7
2009,15,R230E55-Z7016,N,382,,L7
2009,16,C219E55-Z7030,N,382,,L7
2009,16,C219E55-Z7030,N,382,,L7
2009,17,X164E46-Z7042,N,335,,L7
2009,17,X164E46-Z7042,N,335,,L7
2009,18,W164E55-Z8012-1,N,382,,L7
2009,18,W164E55-Z8012-1,N,382,,L7
2009,19,W164E55-Z8012,N,382,,L7
2009,19,W164E55-Z8012,N,382,,L7
2009,20,V221E63-Z8017,N,518,,L7
2009,20,V221E63-Z8017,N,518,,L7
2009,21,V221E55TC-Z7014,N,510,,L5
2009,21,V221E55TC-Z7014,N,510,,L5
2009,22,V221E60TC-Z7023-1,N,603,,S5
2009,22,V221E60TC-Z7023-1,N,603,,S5
2009,24,V251DE30-Z9016-1,N,210,,L7
2009,24,V251DE30-Z9016-1,N,210,,L7
2009,25,C216E60TC-Z7023-2,N,603,,S5
2009,25,C216E60TC-Z7023-2,N,603,,S5
2009,26,C216E55TC-Z7014-1,N,510,,L5
2009,26,C216E55TC-Z7014-1,N,510,,L5
2009,27,W211DE30-Z7033,N,210,,L7
2009,27,W211DE30-Z7033,N,210,,L7
2009,27,W211DE30-Z7033,N,210,,L7
2009,27,W211DE30-Z7033,N,210,,L7
2009,28,V240E55TC-Z7015,N,543,,L5
2009,28,V240E55TC-Z7015,N,543,,L5
2009,29,W240E60TC-Z6040,N,603,,L5
2009,29,W240E60TC-Z6040,N,603,,L5
2009,31,W204E30-Z8023,N,228,,L7
2009,31,W204E30-Z8023,N,228,,L7
2009,32,W211E63-Z7029-1,N,503,,S7
2009,32,W211E63-Z7029-1,N,503,,S7
2009,33,S211E63-Z7029-2,N,503,,S7
2009,33,S211E63-Z7029-2,N,503,,S7
2009,34,W204E30-Z8023-2,N,228,,L7
2009,34,W204E30-Z8023-2,N,228,,L7
2009,35,W204E30-Z8023,N,228,,L7
2009,35,W204E30-Z8023,N,228,,L7
2009,36,W204E30-Z8023-2,N,228,,L7
2009,36,W204E30-Z8023-2,N,228,,L7
2009,37,C209E35-Z6020,N,268,,L7
2009,37,C209E35-Z6020,N,268,,L7
2009,38,W211E35-Z6027-1S,N,268,,L5
2009,38,W211E35-Z6027-1S,N,268,,L5
2009,39,V221E55-Z7011-2,N,382,,L7
2009,39,V221E55-Z7011-2,N,382,,L7
2009,40,V221E55-Z7011-3,N,382,,L7
2009,40,V221E55-Z7011-3,N,382,,L7
2009,41,W211E55-Z7027,N,382,,L5
2009,41,W211E55-Z7027,N,382,,L5
2009,42,W164E35-Z6034,N,268,,L7
2009,42,W164E35-Z6034,N,268,,L7
2009,43,W164E63-Z7048,N,503,,S7
2009,43,W164E63-Z7048,N,503,,S7
2009,44,W211E35-Z6027S,N,268,,L5
2009,44,W211E35-Z6027S,N,268,,L5
2009,45,W204E63-Z7021-2,N,450,,S7
2009,45,W204E63-Z7021-2,N,450,,S7
2009,45,W204E63-Z7021-2,N,450,,S7
2009,45,W204E63-Z7021-2,N,450,,S7
2009,46,V251E35-Z6036,N,268,,L7
2009,46,V251E35-Z6036,N,268,,L7
2009,47,C209E55-Z7020,N,382,,L7
2009,47,C209E55-Z7020,N,382,,L7
2009,48,C209E35-Z6020-1,N,268,,L7
2009,48,C209E35-Z6020-1,N,268,,L7
2009,49,C219E55-Z7030-1,N,382,,L7
2009,49,C219E55-Z7030-1,N,382,,L7
2009,50,W164E63-Z7048,N,503,,S7
2009,50,W164E63-Z7048,N,503,,S7
2009,52,V240E55TC-Z7015,N,543,,L5
2009,52,V240E55TC-Z7015,N,543,,L5
2009,53,V221E55-Z7011,N,382,,L7
2009,53,V221E55-Z7011,N,382,,L7
2009,54,W240E60TC-Z6040,N,603,,L5
2009,54,W240E60TC-Z6040,N,603,,L5
2009,55,G463E55SC-Z5006-1,N,507,,L5
2009,55,G463E55SC-Z5006-1,N,507,,L5
2009,1,133201,N,479,,A6
2009,1,133201,N,479,,A6
2009,1,148725,N,479,,M6
2009,1,148725,N,479,,M6
2009,1,133201,N,479,,S6
2009,1,133201,N,479,,S6
2009,2,135762,N,611,,A6
2009,2,135762,N,611,,A6
2009,2,142867,N,611,,M6
2009,2,142867,N,611,,M6
2009,2,135762,N,611,,S6
2009,2,135762,N,611,,S6
2009,2,132914,N,532,,A6
2009,2,132914,N,532,,A6
2009,2,123667,N,532,,M6
2009,2,123667,N,532,,M6
2009,2,132914,N,532,,S6
2009,2,132914,N,532,,S6
2009,1,E9P31A,N,117,,L5
2009,1,E9P31A,N,117,,L5
2009,1,E9P31M,N,117,,M5
2009,1,E9P31M,N,117,,M5
2009,1,E9P31M,N,117,,M5
2009,1,E9P31M,N,117,,M5
2009,1,E9P31A,N,117,,S5
2009,1,E9P31A,N,117,,S5
2009,2,E6MX1C,N,110,,AV
2009,2,E6MX1C,N,110,,AV
2009,3,E6NE1A,N,113,,L5
2009,3,E6NE1A,N,113,,L5
2009,4,E6NA1A,N,140,,L5
2009,4,E6NA1A,N,140,,L5
2009,4,E6NA1A,N,140,,L5
2009,4,E6NA1A,N,140,,L5
2009,4,E6NA1M,N,140,,M5
2009,4,E6NA1M,N,140,,M5
2009,5,E6RB1M,N,197,,M6
2009,5,E6RB1M,N,197,,M6
2009,5,E6RB1M,N,197,,M6
2009,5,E6RB1M,N,197,,M6
2009,6,E6ZX1M,N,237,,M6
2009,6,E6ZX1M,N,237,,M6
2009,8,E8401A,N,177,,L5
2009,8,E8401A,N,177,,L5
2009,8,E8411A,N,177,,L5
2009,8,E8411A,N,177,,L5
2009,8,E8421A,N,190,,L5
2009,8,E8421A,N,190,,L5
2009,8,E8431A,N,190,,L5
2009,8,E8431A,N,190,,L5
2009,8,E8401M,N,177,,M5
2009,8,E8401M,N,177,,M5
2009,8,E8421M,N,190,,M5
2009,8,E8421M,N,190,,M5
2009,9,E8421A,N,190,,L5
2009,9,E8421A,N,190,,L5
2009,9,E8431A,N,190,,L5
2009,9,E8431A,N,190,,L5
2009,9,E8421M,N,190,,M5
2009,9,E8421M,N,190,,M5
2009,10,E9L51M,N,201,,M6
2009,10,E9L51M,N,201,,M6
2009,10,E9L51A,N,201,,S5
2009,10,E9L51A,N,201,,S5
2009,11,E9K11A,N,280,,S5
2009,11,E9K11A,N,280,,S5
2009,12,E8721M,N,271,,M6
2009,12,E8721M,N,271,,M6
2009,13,E8701A,N,271,,L5
2009,13,E8701A,N,271,,L5
2009,13,E8701A,N,271,,L5
2009,13,E8701A,N,271,,L5
2009,13,E8711A,N,271,,L5
2009,13,E8711A,N,271,,L5
2009,13,E8711A,N,271,,L5
2009,13,E8711A,N,271,,L5
2009,14,E8701A,N,271,,L5
2009,14,E8701A,N,271,,L5
2009,14,E8711A,N,271,,L5
2009,14,E8711A,N,271,,L5
2009,15,E9K21A,N,305,,S5
2009,15,E9K21A,N,305,,S5
2009,16,E9KG1A,N,300,,S5
2009,16,E9KG1A,N,300,,S5
2009,17,E7WC1A,N,240,,L5
2009,17,E7WC1A,N,240,,L5
2009,18,E7ZA1A,N,166,,L5
2009,18,E7ZA1A,N,166,,L5
2009,18,E7ZA1A,N,166,,L5
2009,18,E7ZA1A,N,166,,L5
2009,18,E7ZA1A,N,166,,L5
2009,18,E7ZA1A,N,166,,L5
2009,19,E7ZD1A,N,166,,L5
2009,19,E7ZD1A,N,166,,L5
2009,19,E7ZD1M,N,166,,M5
2009,19,E7ZD1M,N,166,,M5
2009,19,E7ZD1A,N,166,,L5
2009,19,E7ZD1A,N,166,,L5
2009,19,E7ZD1M,N,166,,M5
2009,19,E7ZD1M,N,166,,M5
2009,20,E9JE1A,N,250,,L5
2009,20,E9JE1A,N,250,,L5
2009,21,E7GL1A,N,244,,L5
2009,21,E7GL1A,N,244,,L5
2009,22,E8GW1A,N,241,,L5
2009,22,E8GW1A,N,241,,L5
2009,23,E9N02A,N,250,,L5
2009,23,E9N02A,N,250,,L5
2009,23,E9N02A,N,250,,L5
2009,23,E9N02A,N,250,,L5
2009,23,E9N01A,N,250,,L5
2009,23,E9N01A,N,250,,L5
2009,24,E7YE1A,N,300,,S5
2009,24,E7YE1A,N,300,,S5
2009,25,E6RB1M,N,197,,M6
2009,25,E6RB1M,N,197,,M6
2009,26,E6ZX1M,N,237,,M6
2009,26,E6ZX1M,N,237,,M6
2009,1,NF8F4U43A1,N,168,,L5
2009,1,NF8F4U43A1,N,168,,L5
2009,1,NF8F4U47A1,N,175,,L5
2009,1,NF8F4U47A1,N,175,,L5
2009,1,NF8F4U24A1,N,175,,M5
2009,1,NF8F4U24A1,N,175,,M5
2009,1,NF8F4U24A1,N,175,,M5
2009,2,NF9A6225,N,249,,L5
2009,2,NF9A6225,N,249,,L5
2009,3,TG7L3U11B2,N,234,,L5
2009,3,TG7L3U11B2,N,234,,L5
2009,4,TG6L8U61A3,N,263,,L5
2009,4,TG6L8U61A3,N,263,,L5
2009,5,JM8B0U25A1,N,140,,L4
2009,5,JM8B0U25A1,N,140,,L4
2009,5,JM8B0U16A1,N,140,,M5
2009,5,JM8B0U16A1,N,140,,M5
2009,5,JM8B0U16A1,N,140,,M5
2009,6,JM8B0U96A1,N,140,,M5
2009,6,JM8B0U96A1,N,140,,M5
2009,7,JM9E7U29A2,N,173,,L4
2009,7,JM9E7U29A2,N,173,,L4
2009,8,JM9E7U69A2,N,173,,L4
2009,8,JM9E7U69A2,N,173,,L4
2009,10,BH9L8U71B2,N,290,,L6
2009,10,BH9L8U71B2,N,290,,L6
2009,11,HD7B0U49A1,N,132,,L4
2009,11,HD7B0U49A1,N,132,,L4
2009,11,HD8B0F59A1,N,138,,L4
2009,11,HD8B0F59A1,N,138,,L4
2009,11,HD8B0F60A1,N,138,,M5
2009,11,HD8B0F60A1,N,138,,M5
2009,12,FD8B0F25A1,N,138,,L4
2009,12,FD8B0F25A1,N,138,,L4
2009,12,FD8B0F20A1,N,138,,M5
2009,12,FD8B0F20A1,N,138,,M5
2009,13,EN7L8U27A2,N,260,,L6
2009,13,EN7L8U27A2,N,260,,L6
2009,13,EN7L8U39A2,N,260,,L6
2009,13,EN7L8U39A2,N,260,,L6
2009,14,CM8V7U35A,N,185,,L4
2009,14,CM8V7U35A,N,185,,L4
2009,14,CM8V7U32A,N,185,,M5
2009,14,CM8V7U32A,N,185,,M5
2009,14,CM8V7U41A,N,185,,L4
2009,14,CM8V7U41A,N,185,,L4
2009,14,CM8V7U30A,N,185,,M5
2009,14,CM8V7U30A,N,185,,M5
2009,15,CM7V3U11S2-1,N,242,,L5
2009,15,CM7V3U11S2-1,N,242,,L5
2009,15,CM7V3U11S2,N,242,,L5
2009,15,CM7V3U11S2,N,242,,L5
2009,16,BH8T6U15B,N,375,,L6
2009,16,BH8T6U15B,N,375,,L6
2009,16,BH8T6U19B,N,375,,L6
2009,16,BH8T6U19B,N,375,,L6
2009,17,MC8D6U01A1,N,110,,L4
2009,17,MC8D6U01A1,N,110,,L4
2009,17,MC8D6U02A1,N,110,,M5
2009,17,MC8D6U02A1,N,110,,M5
2009,30,WU1P0176,N,300,,L6
2009,30,WU1P0176,N,300,,L6
2009,30,WU1P0176,N,300,,L6
2009,30,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,50,WU1P0177,N,400,,L6
2009,50,WU1P0177,N,400,,L6
2009,50,WU1P0177,N,400,,L6
2009,50,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,303,TWCP1028,N,300,,L6
2009,303,TWCP1028,N,300,,L6
2009,304,TW1PP035,N,420,,L6
2009,304,TW1PP035,N,420,,L6
2009,309,PAC1PP03,N,300,,L6
2009,309,PAC1PP03,N,300,,L6
2009,310,PGC1PP05,N,420,,L6
2009,310,PGC1PP05,N,420,,L6
2009,1,MG8F4U05A1,N,175,,L5
2009,1,MG8F4U05A1,N,175,,L5
2009,1,MG8F4U06A1,N,175,,M5
2009,1,MG8F4U06A1,N,175,,M5
2009,2,KM8B0U21A1,N,140,,L4
2009,2,KM8B0U21A1,N,140,,L4
2009,2,KM8B0U14A1,N,140,,M5
2009,2,KM8B0U14A1,N,140,,M5
2009,2,KM8B0U94A1,N,140,,M5
2009,2,KM8B0U94A1,N,140,,M5
2009,3,KM9E7U27A2,N,173,,L4
2009,3,KM9E7U27A2,N,173,,L4
2009,3,KM9E7U09A2,N,173,,L4
2009,3,KM9E7U09A2,N,173,,L4
2009,4,GH7L8U31A,N,264,,L5
2009,4,GH7L8U31A,N,264,,L5
2009,5,VQ06EM-38V-2,N,250,,L5
2009,5,VQ06EM-38V-2,N,250,,L5
2009,6,VQ06EM-38V-2,N,250,,L5
2009,6,VQ06EM-38V-2,N,250,,L5
2009,7,BL7L3U21A2,N,245,,L5
2009,7,BL7L3U21A2,N,245,,L5
2009,7,BL7L3U27A2,N,245,,L5
2009,7,BL7L3U27A2,N,245,,L5
2009,8,BL7L8U39A,N,262,,L5
2009,8,BL7L8U39A,N,262,,L5
2009,8,BL7L8U41A,N,262,,L5
2009,8,BL7L8U41A,N,262,,L5
2009,9,LD7B0U27A1,N,132,,L4
2009,9,LD7B0U27A1,N,132,,L4
2009,9,LD7B0U93A1,N,132,,L4
2009,9,LD7B0U93A1,N,132,,L4
2009,9,LD8B0F01A1,N,138,,L4
2009,9,LD8B0F01A1,N,138,,L4
2009,9,LD8B0F91A1,N,138,,L4
2009,9,LD8B0F91A1,N,138,,L4
2009,9,LD8B0F91A1,N,138,,L4
2009,9,LD8B0F04A1,N,138,,M5
2009,9,LD8B0F04A1,N,138,,M5
2009,9,LD8B0F94A1,N,138,,M5
2009,9,LD8B0F94A1,N,138,,M5
2009,10,HM8L8U31A2,N,276,,L5
2009,10,HM8L8U31A2,N,276,,L5
2009,10,HM8L8U33A2,N,276,,L5
2009,10,HM8L8U33A2,N,276,,L5
2009,10,HM8L8U33A2,N,276,,L5
2009,11,UN8F4U21A1,N,167,,L4
2009,11,UN8F4U21A1,N,167,,L4
2009,11,UN8F4U25A1,N,175,,L4
2009,11,UN8F4U25A1,N,175,,L4
2009,12,UN9V7U01A,N,192,,L5
2009,12,UN9V7U01A,N,192,,L5
2009,13,HM9T6U29,N,337,,L6
2009,13,HM9T6U29,N,337,,L6
2009,13,HM9T6U27A,N,337,,L6
2009,13,HM9T6U27A,N,337,,L6
2009,14,MG8V7U63B,N,194,,L5
2009,14,MG8V7U63B,N,194,,L5
2009,15,JB9D6U01A1,N,110,,L4
2009,15,JB9D6U01A1,N,110,,L4
2009,15,JB9D6U03A1,N,110,,L4
2009,15,JB9D6U03A1,N,110,,L4
2009,15,JB9D6U03A1,N,110,,L4
2009,15,JB9D6U02A1,N,110,,M5
2009,15,JB9D6U02A1,N,110,,M5
2009,15,JB9D6U04A1,N,110,,M5
2009,15,JB9D6U04A1,N,110,,M5
2009,1,031271,N,399,,L6
2009,1,031271,N,399,,L6
2009,1,031271,N,399,,L6
2009,1,031271,N,399,,L6
2009,1,021337,N,396,,A6
2009,1,021337,N,396,,A6
2009,1,021337,N,396,,L6
2009,1,021337,N,396,,L6
2009,1,KJB594,N,122,,AV
2009,1,KJB594,N,122,,AV
2009,1,KJEB69,N,122,,AV
2009,1,KJEB69,N,122,,AV
2009,1,KJB441,N,120,,L4
2009,1,KJB441,N,120,,L4
2009,1,KJB441,N,122,,L4
2009,1,KJB441,N,122,,L4
2009,1,KJB468,N,120,,M6
2009,1,KJB468,N,120,,M6
2009,1,KJB468,N,122,,M6
2009,1,KJB468,N,122,,M6
2009,21,AWE318,N,177,,AV
2009,21,AWE318,N,177,,AV
2009,21,AWE318,N,177,,AV
2009,21,AWE319,N,200,,M6
2009,21,AWE319,N,200,,M6
2009,21,AWE319,N,200,,M6
2009,21,AWE319,N,200,,M6
2009,23,FKB062,N,175,,AV
2009,23,FKB062,N,175,,AV
2009,23,FKB063,N,170,,AV
2009,23,FKB063,N,170,,AV
2009,23,FKB064,N,175,,M6
2009,23,FKB064,N,175,,M6
2009,31,FLB106,N,163,,AV
2009,31,FLB106,N,163,,AV
2009,41,FK904,N,270,,AV
2009,41,FK904,N,270,,AV
2009,41,FK904,N,270,,AV
2009,41,FK904,N,270,,AV
2009,41,FK904,N,270,,AV
2009,41,FK904,N,270,,AV
2009,41,FK904,N,270,,AV
2009,41,FK905,N,270,,M6
2009,41,FK905,N,270,,M6
2009,41,FK905,N,270,,M6
2009,41,FK905,N,270,,M6
2009,41,FK905,N,270,,M6
2009,41,FK905,N,270,,M6
2009,42,CLB063,N,290,,AV
2009,42,CLB063,N,290,,AV
2009,42,CLB063,N,290,,AV
2009,42,CLB063,N,290,,AV
2009,42,CLB064,N,290,,AV
2009,42,CLB064,N,290,,AV
2009,42,CLB064,N,290,,AV
2009,42,CLB064,N,290,,AV
2009,43,MKE451,N,330,,M6
2009,43,MKE451,N,330,,M6
2009,43,MKE449,N,330,,S7
2009,43,MKE449,N,330,,S7
2009,43,MKE449,N,330,,S7
2009,43,MKE451,N,330,,M6
2009,43,MKE451,N,330,,M6
2009,43,MKE451,N,330,,M6
2009,43,MKE451,N,330,,M6
2009,43,MKE449,N,330,,S7
2009,43,MKE449,N,330,,S7
2009,43,MKE449,N,330,,S7
2009,43,MKE449,N,330,,S7
2009,43,MKE450,N,330,,S7
2009,43,MKE450,N,330,,S7
2009,43,MKE405,N,330,,S7
2009,43,MKE405,N,330,,S7
2009,43,MKE405,N,330,,S7
2009,43,MKE405,N,330,,S7
2009,44,FGB071,N,306,,M6
2009,44,FGB071,N,306,,M6
2009,44,FGB071,N,306,,M6
2009,44,FGB071,N,306,,M6
2009,44,FGB071,N,306,,M6
2009,44,FGB071,N,306,,M6
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,44,FGB070,N,306,,S7
2009,45,FEB04,N,306,,M6
2009,45,FEB04,N,306,,M6
2009,45,FEB03,N,306,,S5
2009,45,FEB03,N,306,,S5
2009,46,DME679,N,280,,S7
2009,46,DME679,N,280,,S7
2009,46,DME679,N,280,,S7
2009,46,DME679,N,280,,S7
2009,46,DME680,N,280,,S5
2009,46,DME680,N,280,,S5
2009,46,DME680,N,280,,S5
2009,46,DME680,N,280,,S5
2009,47,LTB069,N,298,,S5
2009,47,LTB069,N,298,,S5
2009,47,LTB069,N,298,,S5
2009,47,LTB069,N,298,,S5
2009,47,LTB070,N,298,,S5
2009,47,LTB070,N,298,,S5
2009,47,LTB070,N,298,,S5
2009,47,LTB070,N,298,,S5
2009,61,DMB133,N,335,,S5
2009,61,DMB133,N,335,,S5
2009,61,DME559,N,325,,S5
2009,61,DME559,N,325,,S5
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,71,MNB211,N,480,,S6
2009,81,SRB077,N,151,,L5
2009,81,SRB077,N,151,,L5
2009,81,SRB071,N,151,,M5
2009,81,SRB071,N,151,,M5
2009,82,BRB062,N,170,,AV
2009,82,BRB062,N,170,,AV
2009,82,BRB062,N,170,,AV
2009,82,BRB062,N,170,,AV
2009,82,BRB063,N,165,,AV
2009,82,BRB063,N,165,,AV
2009,82,BRB063,N,165,,AV
2009,82,BRB063,N,165,,AV
2009,82,BRB062,N,170,,AV
2009,82,BRB062,N,170,,AV
2009,84,SRB077,N,151,,L5
2009,84,SRB077,N,151,,L5
2009,84,SRB071,N,151,,M5
2009,84,SRB071,N,151,,M5
2009,91,PX129,N,240,,L5
2009,91,PX129,N,240,,L5
2009,91,PX129,N,240,,L5
2009,91,PX129,N,240,,L5
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,92,SEB094,N,258,,AV
2009,93,LMB082,N,300,,S7
2009,93,LMB082,N,300,,S7
2009,93,LMB082,N,300,,S7
2009,93,LMB082,N,300,,S7
2009,93,LMB081,N,300,,S7
2009,93,LMB081,N,300,,S7
2009,93,LMB081,N,300,,S7
2009,93,LMB081,N,300,,S7
2009,181,SRE296,N,261,,L5
2009,181,SRE296,N,261,,L5
2009,181,SRE296,N,261,,L5
2009,181,SRE296,N,261,,L5
2009,181,SRE296,N,261,,L5
2009,181,SRE296,N,261,,L5
2009,181,SRE299,N,261,,L5
2009,181,SRE299,N,261,,L5
2009,181,SRE299,N,261,,L5
2009,181,SRE299,N,261,,L5
2009,181,SRE336,N,261,,L5
2009,181,SRE336,N,261,,L5
2009,181,SRE336,N,261,,L5
2009,181,SRE336,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE298,N,261,,M6
2009,181,SRE298,N,261,,M6
2009,181,SRE298,N,261,,M6
2009,181,SRE298,N,261,,M6
2009,181,SRE337,N,261,,M6
2009,181,SRE337,N,261,,M6
2009,181,SRE337,N,261,,M6
2009,181,SRE337,N,261,,M6
2009,181,SRE299,N,261,,L5
2009,181,SRE299,N,261,,L5
2009,181,SRE301,N,261,,L5
2009,181,SRE301,N,261,,L5
2009,181,SRE301,N,261,,L5
2009,181,SRE301,N,261,,L5
2009,181,SRE301,N,261,,L5
2009,181,SRE301,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE338,N,261,,L5
2009,181,SRE340,N,261,,L5
2009,181,SRE340,N,261,,L5
2009,181,SRE340,N,261,,L5
2009,181,SRE340,N,261,,L5
2009,181,SRE340,N,261,,L5
2009,181,SRE340,N,261,,L5
2009,181,SRE340,N,261,,L5
